DATE,BBKMGDP
2008-01-01,-4.31597260514179
2008-02-01,-2.96713803045054
2008-03-01,1.186403937847
2008-04-01,4.10768951889294
2008-05-01,3.01247893474211
2008-06-01,0.782672357922088
2008-07-01,-1.64991733522041
2008-08-01,-5.05253756392356
2008-09-01,-9.07026551809359
2008-10-01,-9.27455321053789
2008-11-01,-10.1091585087048
2008-12-01,-7.51628020911039
2009-01-01,-3.881736334663
2009-02-01,-1.13259974567519
2009-03-01,-1.59664668495909
2009-04-01,-0.379473873424773
2009-05-01,0.024033480649496
2009-06-01,0.234338659318445
2009-07-01,1.10082381700854
2009-08-01,2.11654539424194
2009-09-01,5.05475013581014
2009-10-01,5.63403312952111
2009-11-01,4.39211664871967
2009-12-01,1.42892650094044
2010-01-01,0.585242951889245
2010-02-01,0.752719602380303
2010-03-01,3.29399567896986
2010-04-01,4.31977657194719
2010-05-01,4.78185682764785
2010-06-01,3.19300568466229
2010-07-01,2.5549497859156
2010-08-01,2.33576354742465
2010-09-01,2.94027102882003
2010-10-01,2.78056955531764
2010-11-01,1.29153575229205
2010-12-01,-1.13108086478551
2011-01-01,-3.1066639118442
2011-02-01,-1.12124342710348
2011-03-01,3.88304987041776
2011-04-01,4.62120284246728
2011-05-01,2.87688183675303
2011-06-01,-0.624395388764748
2011-07-01,-2.10577253711983
2011-08-01,0.041429019976353
2011-09-01,3.60528779359968
2011-10-01,6.40018846706575
2011-11-01,5.46982310458279
2011-12-01,4.10041273698354
2012-01-01,2.64678081592045
2012-02-01,2.27473500351698
2012-03-01,1.91505431622949
2012-04-01,1.90303486838467
2012-05-01,1.41763367240801
2012-06-01,0.80728269071128
2012-07-01,0.653644302802686
2012-08-01,0.120505282807591
2012-09-01,-0.370402371942567
2012-10-01,-0.50903803542098
2012-11-01,1.28443769171348
2012-12-01,3.65989463680387
2013-01-01,4.74615648635642
2013-02-01,4.17048540437656
2013-03-01,0.576603260989339
2013-04-01,-1.0584640527647
2013-05-01,0.226516029755365
2013-06-01,1.83468144638794
2013-07-01,3.22822440709359
2013-08-01,4.75998893707324
2013-09-01,4.99139358720883
2013-10-01,4.14802242929186
2013-11-01,1.88855631671882
2013-12-01,-2.35493614133486
2014-01-01,-3.70214551763062
2014-02-01,-0.301000388142306
2014-03-01,4.33987326426557
2014-04-01,6.62780092711408
2014-05-01,6.98598641557837
2014-06-01,6.18552142375
2014-07-01,5.18063887230044
2014-08-01,3.28904721093776
2014-09-01,2.20544179550601
2014-10-01,1.30236024800936
2014-11-01,2.36686979178333
2014-12-01,3.85462153070375
2015-01-01,4.09237221048626
2015-02-01,3.90416919389016
2015-03-01,3.86483439234026
2015-04-01,2.46058071524416
2015-05-01,1.70000462635967
2015-06-01,1.8411669307865
2015-07-01,1.95333364223467
2015-08-01,0.760748365052112
2015-09-01,0.271286722758731
2015-10-01,0.31342576571293
2015-11-01,0.693120161171131
2015-12-01,2.15071672465356
2016-01-01,3.24232529008256
2016-02-01,2.27487874813339
2016-03-01,1.0616126597505
2016-04-01,0.842236224609706
2016-05-01,1.00412658321262
2016-06-01,2.27054842348925
2016-07-01,2.54259300163788
2016-08-01,2.10275632805982
2016-09-01,2.16963271315091
2016-10-01,2.60567661316343
2016-11-01,2.75799771634526
2016-12-01,2.81050541295698
2017-01-01,2.39846794626695
2017-02-01,1.64921861450322
2017-03-01,1.42982458679776
2017-04-01,1.5706660230431
2017-05-01,1.61041249835252
2017-06-01,2.90494672888927
2017-07-01,2.93278126608085
2017-08-01,3.1658038415089
2017-09-01,3.57590131929568
2017-10-01,4.12611700134355
2017-11-01,3.89015505505941
2017-12-01,3.76561048259361
2018-01-01,3.6470534808031
2018-02-01,4.00461546528375
2018-03-01,3.02297842849831
2018-04-01,2.622995058121
2018-05-01,1.7917975065305
2018-06-01,2.48731946614412
2018-07-01,2.03580172859412
2018-08-01,2.34733728185935
2018-09-01,1.29440751330386
2018-10-01,0.488670132881101
2018-11-01,1.20496214376795
2018-12-01,2.97508383627041
2019-01-01,3.62589488420272
2019-02-01,2.92914700328617
2019-03-01,2.1145866188437
2019-04-01,0.608750218650904
2019-05-01,1.14730755871613
2019-06-01,2.05103734960896
2019-07-01,3.15843523963096
2019-08-01,3.28155249459142
2019-09-01,1.55996324085355
2019-10-01,0.632964252019004
2019-11-01,3.09966894982196
2019-12-01,6.55895854228092
2020-01-01,4.21266463278307
2020-02-01,-13.5615899836692
2020-03-01,-47.4941334217162
2020-04-01,-71.1176297699535
2020-05-01,-22.1935383462293
2020-06-01,27.3273624469232
2020-07-01,48.515817534932
2020-08-01,35.8142644704152
2020-09-01,10.0034403552195
2020-10-01,-4.97037743838723
2020-11-01,-4.20169484720631
2020-12-01,5.60140058000767
2021-01-01,10.2731910797149
2021-02-01,6.15389047614286
2021-03-01,5.37305061799667
